time,battery,height,ax,ay,az,roll,pitch,yaw
1742750960.6716301,77,10,0.1372,-0.049,0.0294,0,0,143
1742750961.1742456,77,10,-0.0588,0.0588,0.0098,0,0,158
1742750961.6763747,77,10,-0.3528,0.3528,-0.2646,0,0,160
1742750962.1798863,77,10,0.1568,1.2642,0.8917999999999999,0,0,-167
1742750962.682924,77,10,0.098,-0.0686,-0.049,0,0,-140
1742750963.1845496,77,10,0.2254,0.0588,-0.0588,0,1,-140
1742750963.687344,77,10,-0.5194,-0.0196,0.0196,0,0,-109
1742750964.1895595,77,10,0.0784,-0.0784,0.0098,0,0,-83
1742750964.6905866,77,10,0.147,-0.3626,-0.32339999999999997,0,0,-63
1742750965.1925743,77,10,2.1952,-0.2842,0.6762,3,14,7
1742750965.694277,77,40,6.615,-1.8914,3.5867999999999998,12,48,35
1742750966.196098,77,128,7.8008,-3.234,4.4982,30,50,56
1742750966.697919,77,128,7.8008,-3.234,4.4982,30,50,56
1742750967.2006743,77,128,7.8008,-3.234,4.4982,30,50,56
1742750967.7022545,77,128,7.8008,-3.234,4.4982,30,50,56
1742750968.2058227,77,128,7.8008,-3.234,4.4982,30,50,56
1742750968.7084823,77,128,7.8008,-3.234,4.4982,30,50,56
1742750969.2108982,77,128,7.8008,-3.234,4.4982,30,50,56
1742750969.7136512,77,128,7.8008,-3.234,4.4982,30,50,56
1742750970.2163224,77,128,7.8008,-3.234,4.4982,30,50,56
1742750970.7185507,77,128,7.8008,-3.234,4.4982,30,50,56
1742750971.2205546,77,128,7.8008,-3.234,4.4982,30,50,56
1742750971.7220387,77,128,7.8008,-3.234,4.4982,30,50,56
1742750972.2257757,77,128,7.8008,-3.234,4.4982,30,50,56
1742750972.7275035,77,128,7.8008,-3.234,4.4982,30,50,56
1742750973.22945,77,128,7.8008,-3.234,4.4982,30,50,56
1742750973.7326212,77,128,7.8008,-3.234,4.4982,30,50,56
1742750974.2354538,77,128,7.8008,-3.234,4.4982,30,50,56
1742750974.7370777,77,128,7.8008,-3.234,4.4982,30,50,56
1742750975.239414,77,128,7.8008,-3.234,4.4982,30,50,56
1742750975.742213,77,128,7.8008,-3.234,4.4982,30,50,56
1742750976.2450225,77,128,7.8008,-3.234,4.4982,30,50,56
1742750976.7468312,77,128,7.8008,-3.234,4.4982,30,50,56
1742750977.2491848,77,128,7.8008,-3.234,4.4982,30,50,56
1742750977.750584,77,128,7.8008,-3.234,4.4982,30,50,56
1742750978.252359,77,128,7.8008,-3.234,4.4982,30,50,56
1742750978.7551434,77,128,7.8008,-3.234,4.4982,30,50,56
1742750979.2576017,77,128,7.8008,-3.234,4.4982,30,50,56
1742750979.7592826,77,128,7.8008,-3.234,4.4982,30,50,56
1742750980.261326,77,128,7.8008,-3.234,4.4982,30,50,56
1742750980.7635112,77,128,7.8008,-3.234,4.4982,30,50,56
1742750981.2666483,77,128,7.8008,-3.234,4.4982,30,50,56
1742750981.7681484,77,128,7.8008,-3.234,4.4982,30,50,56
1742750982.2709284,77,128,7.8008,-3.234,4.4982,30,50,56
1742750982.7719626,77,128,7.8008,-3.234,4.4982,30,50,56
1742750983.274659,77,128,7.8008,-3.234,4.4982,30,50,56
1742750983.7770798,77,128,7.8008,-3.234,4.4982,30,50,56
1742750984.278929,77,128,7.8008,-3.234,4.4982,30,50,56
1742750984.7809496,77,128,7.8008,-3.234,4.4982,30,50,56
1742750985.2825415,77,128,7.8008,-3.234,4.4982,30,50,56
1742750985.7842617,77,128,7.8008,-3.234,4.4982,30,50,56
1742750986.286645,77,128,7.8008,-3.234,4.4982,30,50,56
1742750986.7888362,77,128,7.8008,-3.234,4.4982,30,50,56
1742750987.2915058,77,128,7.8008,-3.234,4.4982,30,50,56
1742750987.7938998,77,128,7.8008,-3.234,4.4982,30,50,56
1742750988.295986,77,128,7.8008,-3.234,4.4982,30,50,56
1742750988.7975426,77,128,7.8008,-3.234,4.4982,30,50,56
1742750989.2989025,77,128,7.8008,-3.234,4.4982,30,50,56
1742750989.8023272,77,128,7.8008,-3.234,4.4982,30,50,56
1742750990.3054857,77,128,7.8008,-3.234,4.4982,30,50,56
1742750990.8076565,77,128,7.8008,-3.234,4.4982,30,50,56
1742750991.3088953,77,128,7.8008,-3.234,4.4982,30,50,56
1742750991.810432,77,128,7.8008,-3.234,4.4982,30,50,56
1742750992.3127513,77,128,7.8008,-3.234,4.4982,30,50,56
